nodeId,time,predicted_failure_risk,prediction_uncertainty
7,87.100000,0.059833,0.000000
8,87.100000,0.059833,0.000000
9,87.100000,0.059833,0.000000
0,88.100000,0.014530,0.000000
1,88.100000,0.042553,0.000000
2,88.100000,0.059833,0.000000
3,88.100000,0.080385,0.000000
4,88.100000,0.049282,0.000000
5,88.100000,0.014560,0.000000
6,88.100000,0.080373,0.000000
7,88.100000,0.059833,0.000000
8,88.100000,0.059833,0.000000
9,88.100000,0.059833,0.000000
0,89.100000,0.014531,0.000000
1,89.100000,0.042553,0.000000
2,89.100000,0.059833,0.000000
3,89.100000,0.080385,0.000000
4,89.100000,0.049286,0.000000
5,89.100000,0.014557,0.000000
6,89.100000,0.080372,0.000000
7,89.100000,0.059833,0.000000
8,89.100000,0.059833,0.000000
9,89.100000,0.059833,0.000000
